
	Console			Probe  1									Probe  2									Probe  3									Probe  4									Probe  5									Probe  6									Probe  7									Probe  8									IO  1								
	Mode	Total Amps		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	-	Output	-	Max	Min	
Tue Sep 17 14:10:03 2019	RUN	0.2		175.0	0	    	A-F	6.4	0.08	175.1	175.0		175.8	0	    	A-F	8.8	0.14	176.0	175.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		174.5	0	    	A-F	6.0	0.08	175.0	174.5		175.9	0	    	A-F	6.8	0.11	176.0	175.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.2		175.1	0	    	A-F	5.6	0.07	175.1	174.5		175.7	0	    	A-F	8.4	0.14	175.9	175.6		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		174.4	0	    	A-F	5.6	0.07	175.1	174.4		175.8	0	    	A-F	7.2	0.12	175.8	175.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.2		174.7	0	    	A-F	5.6	0.07	174.7	174.5		175.5	0	    	A-F	8.0	0.13	175.8	175.5		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		174.9	0	    	A-F	5.2	0.07	175.0	174.5		175.3	0	    	A-F	7.6	0.12	175.5	175.3		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.2		174.7	0	    	A-F	5.6	0.07	174.8	174.5		175.2	0	    	A-F	8.0	0.13	175.3	175.1		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		175.1	0	    	A-F	5.2	0.07	175.1	174.6		175.2	0	    	A-F	7.6	0.12	175.3	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		174.4	0	    	A-F	5.6	0.07	175.2	174.4		175.2	0	    	A-F	7.6	0.12	175.3	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		174.6	0	    	A-F	5.6	0.07	174.6	174.1		175.2	0	    	A-F	7.2	0.11	175.3	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		174.6	0	    	A-F	5.6	0.07	175.2	174.6		175.1	0	    	A-F	7.2	0.12	175.2	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.1		175.1	0	    	A-F	5.6	0.07	175.1	174.3		175.0	0	    	A-F	7.2	0.12	175.2	175.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
